,Title,Author
0,Playing to Win ,A.G. Lafley 
1,The Upside ,Adrian J. Slywotzky 
2,Profit Patterns,Adrian J. Slywotzky 
3,How to grow when Market's Don't,Adrian Slywotzky & Richard Wise
4,The Origin of Brands ,Al & Laura Reis 
5,The 22 Immutable Laws of Branding ,Al Reis and Laura Reis 
6,Focus (The Future of Your Company Depends on it),Al Ries
7,Grit the Power of Passion and Perservance ,Angela Duckworth 
8,BRAND is a four letter word: Positioning and the Real Art of Marketing ,Austin McGhie 
9,The Paradox of Choice ,Barry Schwartz 
10,Business War Games ,Benjamin Gilad 
11,The Chaos Scenario ,Bob Garfield 
12,Trillion Dollar Moms ,Bonnie Ulman 
13,Mindless Eating: Why We Eat More Than We Think ,Brian Wansink 
14,Why She Buys ,Bridget Brennan 
15,Understanding Michael Porter ,by Joan Magretta 
16,How Brands Grow Parts 1 & 2 ,Byron Sharp 
17,Power of Habit ,Charles Duhigg 
18,Winning with the P&G 99 (99 Principles & Practices of Procter & Gamble Success),Charles L. Decker
19,Made to Stick: Why Some Ideas Survive and Others Die ,Chip Heath and Dan Heath 
20,The Invisible Gorilla: How Our Intuitions Deceive Us ,Christopher Chabris and Daniel Simons 
21,Predictably Irrational ,Dan Ariely 
22,Emotionomics ,Dan Hill 
23,Primal Leadership,Daniel Goleman
24,Thinking Fast and Slow ,Daniel Kahnemen 
25,Do the KIND Thing ,Daniel Lubetzky (Founder & CEO of KIND) 
26,When: The Scientific Secrets of Perfect Timing ,Daniel Pink 
27,Behavioral Marketing ,Dave Walters 
28,Brand Portfolio Strategy,David A. Aaker
29,Brand Relevance: Making Competitors Irrelevant ,David A. Aaker 
30,Spanning Silos: The New CMO Imperative ,David A. Aaker 
31,"Social Media: Strategies to Mastering Your Brand: Facebook, Instagram, Twitter and Snapchat ",David Kelly 
32,Borrowing Brilliance ,David Kord Murray 
33,The Brain Sell: When Science Meets Shopping ,David Lewis 
34,Longaberger,David Longaberger
35,Ogilvy on Advertising ,David Ogilvy 
36,Brick by Brick: How LEGO Rewrote the Rules of Innovation and Conquered the Global Toy Industry ,David Robertson 
37,The Seven Spiritual Laws of Success ,Deepak Chopra 
38,What Great Brands Do: The Seven Brand-Building Principles that Separate the Best from the Rest ,Denise Lee Yohn 
39,Unconscious Branding ,Do  Duglas Van Praet 
40,Jumpstart your business Brain,Doug Hall
41,Ideation: The Birth and Death of Ideas ,Douglas Graham and Thomas T. Bachmann 
42,The Firm: The Story of McKinsey and Its Secret Influence on American Business ,Duff McDonald 
43,Theory of Constraints ,Eliyahu M. Goldratt 
44,The Anatomy of a Buzz,Emanual Rosen
45,The Branded Mind ,Erik Du Plessis 
46,The McKinsey Way ,Ethan M. Rasiel 
47,McKinsey Mind ,Ethan M. Rasiel and Paul N. Friga 
48,Trust,Francis Fukuyama
49,The Media Effect: What Elephants and Epidemics Can Teach Us About Innovation ,Frans Johansen 
50,The Myth of Excellence,Fred Crawford & Rhyan Matthews
51,Presentation Zen ,Garr Reynolds 
52,Rules for Revolutionaries(Capitalist Manifesto for creating & marketing ew products and services),Gary Kawasaki
53,The Six month Fix: Adventures in Rescuing Failing Companies ,Gary Sutton 
54,"Jab, Jab, Jab, Right Hook ",Gary Vaynerchuk 
55,Metaphorically Speaking,Gerald Zaltman
56,Neuroelectrical Brain Imaging Tools for the Study of the Efficacy of TV Advertising Stimuli and their Application to Neuromarketing ,"Giovanni Vecchiato, Patrizia Cherubino, Arianna Trettel and Fabio Babiloni "
57,Chief Culture Officer ,Grant McCracken 
58,The Top Ten Mistakes Leaders Make,Hans Finzel
59,Value-Based Pricing ,Harry Macdivitt and Mike Wilkinson 
60,"Value-Based Pricing: Drive Sales and Boost Your Bottom Line by Creating, Communicating and Capturing Customer Value ",Harry Macdivitt and Mike Wilkinson 
61,"Marketing Turnarounds: A Guide to Surviving Downturns and Rediscovering Growth"" ",Hooman Estelami 
62,Absolute Value ,Itamar Simonson and Emanuel Rosen 
63,Hug Your Customer,Jack Mitchell
64,Big Brands Big Trouble: Lessons Learned the Hard Way,Jack Trout
65,Positioning ,Jack Trout and Al Ries 
66,Re-Positioning ,Jack Trout and Steve Rivkin (Tivkin)
67,Differentiate or Die ,Jack Trout and Steve Tivkin (Rivkin)
68,"Smart Pricing: How Google, Priceline, and Leadig Businesses Use Pricing Innovation for Profitability ",Jagmohan John Raju and John Z. Zhang 
69,The Knowledge Based Organization,James A. alexander & Michael C. Lyons
70,Built to Last,James C. Collins
71,Dangerous Company,James O'Shea&Charles Madigan
72,Concepting ,Jan Rijkenberg 
73,Street Trends,Janine Lopiano & Joanne DeLuca
74,The Designing for Growth Field Book: A Step-by-Step Project Guide ,Jeanne Liedtka 
75,Marketing to Millennials ,Jeff Fromm and Christine Garton 
76,How to Become a Rainmaker,Jeffery J. Fox
77,The Big Ten,Jeffrey E. Garten
78,Good to Great (Why companies that are built to last under perfomr the Market),Jim Collins
79,Good to Great ,Jim Collins 
80,Good to Great: Why Some Companies Make the Leap and Others Don't ,Jim Collins 
81,Built to Last: Successful Habits of Visionary Companies ,Jim Collins 
82,What Every Body is Saying: A Ex-FBI Agent's Guide to Speed Reading People ,Joe Navarro 
83,"Epic Content Marketing: How to Tell a Different Story, Break Through the Clutter and Win More Customers by Marketing Less ",Joe Pulizzi 
84,The Art of Creative Thinking ,John Adair 
85,The 17 Essential Qualities of a Team Player,John C. Maxwell
86,Failing Forward,John C. Maxwell
87,Brand Against the Machine ,John Michael Morgan 
88,The Ultimate Secrets of Advertising ,John Philip Jones 
89,"Social Media Marketing Strategies For Rapid Growth Using:Facebook, Twitter, I_n_s_t_a_g_r_a_m_,_ _L_i_n_k_e_d_I_n_,_ _P_i_n_t_e_r_e_s_t_ _&_ _Y_o_u_t_u_b_e_” _",John Williams 
90,Marketing Outrageously (Cheat Sheet) ,Jon Spoelstra 
91,Contagious ,Jonah Berger 
92,Contagious: Why Things Catch on ,Jonah Berger 
93,How We Decide ,Jonah Lehrer 
94,Brand vs. Wild: Building Resilient Brands for Harsh Business Environments ,Jonathan David Lewis 
95,Life After the 30 Second Spot ,Joseph Jaffe 
96,Join the Conversation ,Joseph Jaffe 
97,The Road to Reinvention ,Josh Linkner 
98,Outthink the Competition ,Kaihan Krippendorff 
99,Viral Marketing: The Science of Sharing ,Karen Nelson-Field 
100,Brand Turnaround: How Brands Gone Bad Returned to Glory and the 7 Game Changers that Made the Difference ,Karen Post 
101,The Mind of the Strategist ,Kenichi Ohmae 
102,Thinking Inside the Box,Kirk Cheyfitz
103,The Game Changer ,Lafley and Charan 
104,"The Psychology of Price: How to Use Price to Increase Demand, Profit and Customer Satisfaction ",Leigh Caldwell 
105,The Cluetrain Manifesto,"Levine, Locke, Searls, & Weinberger"
106,The Power of Nice: How to Conquer the Business World with Kindness,Linda Kaplan Thaler and Robin Koval
107,Don't Think Pink ,Lisa Johnson and Andrea Learned 
108,"Hey Whipple, Squeeze This! ",Luke Sullivan 
109,"Notes from ""Blink"",",Malcolm Gladwell
110,The Tipping Point ,Malcolm Gladwell 
111,Strategic Transformation – _Changing While Winning ,"Manuel Hensmans, Gerry Johnson, George Yip "
112,The Global Brand CEO: Building the Ultimate Marketing Machine ,Marc DeSwaan Arons and Frank Van Den Driest 
113,The Hero and the Outlaw: Building Extraordinary Brands Through the Power of Archetypes ,Margaret Mark and Carol S. Pearson 
114,Social Media Explained: Untangling the World's Most Misunderstood Business Trend ,Mark W. Schaefer 
115,Marketing to Women ,Marti Barletta 
116,Agile Business for Fragle Times,Mary Pat McCarthy & Jeff Stein
117,Brand Failures: The Truth About the 100 Biggest Branding Mistakes of All Time ,Matt Haig 
118,Branded! ,Michael Conroy 
119,Getting it Right the Second Time,Michael Gershman
120,RE-Engineering the Corporation (A manifesto for Business Revolutions),Michael Hammer & James Champy
121,Women Want More ,Michael J. Silverstein and Kate Sayre 
122,The Discipline of Market Leaders,Michael Treacy & Fred Wiersema
123,Millennium Momentum ,Morley Winograd & Michael Hais 
124,Slide: ology: The Art and Science of Creating Great Presentations ,Nancy Duarte 
125,Habit: The 95% of Behavior Marketers Ignore ,Neale Martin 
126,SPIN Selling,Neil Rackham
127,What Customers Crave ,Nicolas J. Webb 
128,Purpose: The Starting Point of Great Companies ,Nikos Mourkogiannis 
129,Hooked: How to Build Habit-Forming Products ,Nir Eyal 
130,Reversing Strategic Risk ,No Author Listed 
131,Sway ,Ori Brafman and Rom Brafman 
132,The Starfish and The Spider ,Ori Brafman and Rom Brafman 
133,Why We Buy (The Science of Shopping),Paco Underhill
134,What Women Want ,Paco Underhill 
135,Megatrends/2010 ,Patricia Aburdene 
136,Neuromarketing ,Patrick Renvoise and Christophe Morin 
137,The McKinsey Engagement ,Paul N. Friga 
138,The Fifth Discipline,Peter Senge
139,The Sports Marketplace,Phil Schaaef
140,The 1% Windfall ,Rafi Mohammed 
141,Nudge ,Richard H. Thaler & Cass R. Sunstein 
142,Misbehaving: The Making of Behavioral Economics ,Richard H.Thaler 
143,Good Strategy/Bad Strategy ,Richard Rumelt 
144,The End of Competitive Advantage: How to Keep Your Strategy Moving as Fast as Your Business ,Rita Gunther McGrath 
145,Market Busters: 40 Strategic Moves That Drive Exceptional Business Growth ,Rita Gunther McGrath and Ian C. MacMillan 
146,Contextual Pricing ,"Rob Docters, John Hanson, Cecilia Nguyen, & Michael Barzelay "
147,Great Brand Blunders: The Worst Marketing and Social Meltdowns of All Time . . . ,Rob Gray 
148,How to Be a Star at Work,Robert E. Kelley
149,Leadership Leading Quietly and Imal Leadership,"Rodulph W. Guiliani, Joseph Badaracco, Jr. and Daniel Goleman"
150,Brainfluence: 100 Ways to Persuade with Neuromarketing ,Roger Dooley 
151,"Raidcal Marketing (From Harvard to Harley, Lessons Fron ten that broke the rules and made it big)",Same Hill & Glenn Rifkin
152,"Creative Destruction (Why Companies that are built to last under perform the Market, and how to successfullytransorm them)",Sarah Kaplan & Richard Foster
153,Permission Marketing,Seth Godin
154,Purple Cow: Transform Your Business by Being Remarkable ,Seth Godin 
155,"The Zen of Social Media Marketing: An Easier Way to Build Credibility, Generate Buzz and Increase Revenue ",Shama Kabani 
156,On Purpose: Delivering a Branded Customer Experience People Love ,Shaun Smith and Andy Milligan 
157,Who Moved My Cheese,Spencer Johnson
158,The 25 Sales Skills (They don't teach you in business school),Stephanie Schiffman
159,Fish (The Art and Practice of Learning Organization),"Stephen C. Lundin, Harry Paul and John Christensen"
160,Fish Sticks,"Stephen C. Lundin, Harry Paul and John Christensen"
161,Listen First!: Turning Social Media Conversations Into Business Advantage ,Stephen D. Rappaport 
162,Killing Giants ,Stephen Denny 
163,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change ,Stephen R. Covey 
164,Power Branding: Leveraging the Success of the World's Best Brands ,Steve McKee 
165,The Influential Mind: What the Brain Reveals About or Power to Change Others ,Tali Sharon 
166,The Millennials ,Thom S. Rainer & Jess W. Rainer 
167,In Search of Excellence: Lessons from America's Best-Run Companies ,Thomas J. Peters and Robert H. Waterman Jr. 
168,"Design Thinking: Integrating Innovation, Customer Experience and Brand Value ",Thomas Lockwood 
169,The Strategy and Tactics of Pricing ,Thomas Nagle and Reed Holden 
170,Change by Design: How Design Thinking Transforms Organizations and Inspires Innovation ,Tim Brown 
171,Pricing Done Right: The Pricing Framework Proven Successful by the World's Most Profitable Companies (Bloomberg Financial) ,Tim J. Smith 
172,Branding: Owning Real Estate in the Cosumer's Mind ,Tom Hayes and Sam Sager 
173,The Way Axis: Hidden Motives and The Undiscovered Economics of Everyday Life ,Uri Gneezy and John A. List 
174,The Other Side of Innovation: Solving the Execution Challenge ,Vijay Govindarajan and Chris Trimble 
175,"Big Data: A Revolution That Will Transform How We Live, Work, and Think ",Viktor Mayer-Schonberger and Kenneth Cukier 
176,The Lords of Strategy ,"Walter Kiechel, III "
177,The Power of the Impossible Thinking: Transforming the Business of Your Life & the Life of your Business,Yoram (Jerry) Wind & Colin Crook
